Datetime,Counts,kW,OAT,Mixed Temp,Return Temp,Supply Temp
2017-07-02 12:00:00,226.16666666666666,7.831233333333334,69.42348333333332,80.09694999999998,68.53661666666667,61.91038333333334
2017-07-02 13:00:00,227.91666666666666,7.8918333333333335,69.27393333333333,80.59318333333333,68.4755,62.33325
2017-07-02 14:00:00,229.5,7.946691666666666,69.32105,80.36828333333334,68.41773333333335,62.101583333333345
2017-07-02 15:00:00,229.41666666666666,7.943791666666667,69.42818333333335,80.44833333333332,68.51161666666667,62.22043333333337
2017-07-02 16:00:00,228.66666666666666,7.917816666666667,69.59061666666666,80.89531666666669,68.69366666666664,62.56266666666666
2017-07-02 17:00:00,229.66666666666666,7.95245,69.60943333333334,80.82533333333335,68.65678333333331,62.45531666666666
2017-07-02 18:00:00,228.66666666666666,7.917833333333334,69.40623333333336,80.26693333333334,68.42348333333331,61.887483333333336
2017-07-02 19:00:00,227.66666666666666,7.883175000000001,69.14721666666668,79.53461666666664,68.15553333333334,61.31328333333335
2017-07-02 20:00:00,224.41666666666666,7.770649999999999,68.58538333333334,77.82466666666666,67.57006666666668,60.15635000000002
2017-07-02 21:00:00,217.58333333333334,7.534041666666664,67.61435,73.80651666666671,66.61333333333336,58.405949999999976
2017-07-02 22:00:00,215.58333333333334,7.464791666666667,67.48315,71.75425,66.48940000000002,58.07193333333331
2017-07-02 23:00:00,212.41666666666666,7.355133333333334,67.49288333333334,69.8492833333333,66.54921666666667,58.327933333333334
2017-07-03 00:00:00,211.25,7.31475,67.45643333333334,68.68719999999999,66.4086,58.01126666666667
2017-07-03 01:00:00,209.33333333333334,7.248375000000002,67.39996666666667,67.51396666666665,66.35555000000001,57.725833333333334
2017-07-03 02:00:00,208.75,7.228166666666667,67.29553333333332,66.87481666666666,66.20101666666669,57.27150000000001
2017-07-03 03:00:00,207.58333333333334,7.187783333333333,67.33231666666667,66.16929999999999,66.25055,57.32823333333333
2017-07-03 04:00:00,207.58333333333334,7.187783333333333,67.14604999999999,66.01845000000002,66.07795,56.89895
2017-07-03 05:00:00,205.91666666666666,7.130083333333332,67.00248333333333,65.14079999999998,65.93133333333334,56.70468333333333
2017-07-03 06:00:00,206.08333333333334,7.135850000000001,67.01504999999999,65.53121666666668,65.96686666666666,56.62508333333334
2017-07-03 07:00:00,209.5,7.25415,67.10615000000001,68.29511666666664,66.42371666666664,58.09328333333334
2017-07-03 08:00:00,215.66666666666666,7.467691666666667,68.7208,73.93005000000001,67.86020000000002,60.02333333333334
2017-07-03 09:00:00,222.5,7.704275000000002,69.70740000000002,78.13071666666666,68.80498333333334,61.919516666666674
2017-07-03 10:00:00,227.25,7.868766666666666,70.64963333333334,80.61024999999998,69.69951666666665,63.09748333333333
2017-07-03 11:00:00,230.16666666666666,7.969766666666666,70.93021666666665,82.12398333333333,69.89461666666666,63.56646666666667
2017-07-03 12:00:00,230.91666666666666,7.995716666666666,70.97550000000003,83.05354999999999,69.94081666666665,64.13086666666668
2017-07-03 13:00:00,230.66666666666666,7.987083333333332,71.29475,83.65506666666668,70.21164999999999,64.45236666666668
2017-07-03 14:00:00,232.08333333333334,8.036125,71.43113333333335,84.36519999999996,70.54410000000003,64.94019999999998
2017-07-03 15:00:00,232.91666666666666,8.064975,71.08201666666666,84.9669,70.23825000000002,65.37273333333333
2017-07-03 16:00:00,232.91666666666666,8.064975,70.77761666666667,84.38139999999999,69.87728333333334,65.10666666666664
2017-07-03 17:00:00,229.66666666666666,7.9524583333333325,69.8265,82.12936666666663,69.04886666666667,63.871366666666646
2017-07-03 18:00:00,230.5,7.981299999999998,71.41626666666667,83.17685000000002,70.06899999999999,64.71601666666669
2017-07-03 19:00:00,229.83333333333334,7.958233333333333,71.55866666666667,81.73718333333336,70.19101666666668,64.05538333333332
2017-07-03 20:00:00,228.0,7.8947166666666675,71.58728333333333,80.14043333333333,70.39143333333332,63.546033333333334
2017-07-03 21:00:00,224.83333333333334,7.785058333333332,71.3760333333333,77.76121666666667,70.23888333333333,63.291799999999995
2017-07-03 22:00:00,221.25,7.660999999999999,69.85483333333332,74.72335000000002,68.87039999999999,62.27030000000001
2017-07-03 23:00:00,217.16666666666666,7.519600000000001,68.12911666666668,72.62294999999997,67.30928333333334,61.15895
2017-07-04 00:00:00,216.58333333333334,7.499383333333335,68.32366666666665,71.57399999999998,67.57465,61.615683333333315
2017-07-04 01:00:00,215.66666666666666,7.467666666666665,68.24076666666666,70.78606666666666,67.5098333333333,61.70771666666667
2017-07-04 02:00:00,214.33333333333334,7.421524999999999,68.22355,69.72128333333332,67.45086666666666,61.49505
2017-07-04 03:00:00,213.25,7.383983333333332,68.10976666666666,68.96241666666666,67.30898333333334,61.12559999999999
2017-07-04 04:00:00,212.83333333333334,7.369533333333333,67.89186666666666,68.4051,67.08168333333334,60.791450000000005
2017-07-04 05:00:00,212.08333333333334,7.343583333333332,67.85948333333333,67.8505833333333,67.04426666666667,60.74354999999999
2017-07-04 06:00:00,212.16666666666666,7.346466666666665,67.77628333333337,67.80175,66.9542,60.455133333333336
2017-07-04 07:00:00,213.58333333333334,7.395541666666666,68.03553333333332,69.5672333333333,67.24621666666668,61.354733333333336
2017-07-04 08:00:00,217.75,7.539816666666666,68.52159999999999,73.26368333333332,67.78521666666666,62.72609999999998
2017-07-04 09:00:00,222.25,7.695616666666667,69.02331666666669,76.44420000000001,68.2677166666667,63.64400000000001
2017-07-04 10:00:00,225.75,7.816816666666668,69.5572,79.0417,68.79923333333336,64.61355000000002
2017-07-04 11:00:00,228.41666666666666,7.90915,69.61979999999998,80.24470000000001,68.91896666666665,65.00481666666663
2017-07-04 12:00:00,229.91666666666666,7.961108333333332,69.89626666666669,81.53950000000002,69.21971666666668,65.55633333333334
2017-07-04 13:00:00,232.08333333333334,8.036116666666665,70.13476666666664,82.41235000000002,69.44456666666669,65.79124999999999
2017-07-04 14:00:00,231.08333333333334,8.001516666666666,70.03398333333334,82.04038333333334,69.30688333333336,65.34828333333331
2017-07-04 15:00:00,229.66666666666666,7.952450000000002,69.67493333333333,80.79926666666667,68.95005,64.77125
2017-07-04 16:00:00,228.58333333333334,7.914933333333335,69.58376666666669,79.8119,68.86863333333334,64.55486666666665
2017-07-04 17:00:00,223.41666666666666,7.736016666666665,68.64926666666665,76.01845000000002,67.91978333333336,63.146616666666674
2017-07-04 18:00:00,224.91666666666666,7.787933333333332,68.89171666666667,77.2746333333333,68.2134,63.76535000000001
2017-07-04 19:00:00,223.58333333333334,7.741783333333333,68.80193333333332,76.20088333333334,68.18376666666666,63.855433333333366
2017-07-04 20:00:00,222.5,7.704258333333332,68.77623333333332,75.07719999999999,68.18063333333332,63.927800000000005
2017-07-04 21:00:00,219.41666666666666,7.597516666666667,68.4502,73.03386666666668,67.86548333333333,63.33563333333332
2017-07-04 22:00:00,218.91666666666666,7.580216666666668,68.52011666666668,72.61603333333336,67.9546,63.50405000000001
2017-07-04 23:00:00,219.33333333333334,7.594633333333334,68.48808333333335,72.63668333333335,67.74141666666668,62.28436666666665
2017-07-05 00:00:00,216.83333333333334,7.508066666666668,67.97058333333335,71.60201666666669,67.06205000000001,60.37735000000002
2017-07-05 01:00:00,213.5,7.39265,67.47140000000002,70.1409,66.42298333333333,58.57653333333334
2017-07-05 02:00:00,211.66666666666666,7.329166666666667,67.00761666666669,68.97139999999999,65.8833333333333,57.38149999999999
2017-07-05 03:00:00,210.58333333333334,7.291683333333334,66.79251666666664,68.00258333333332,65.64635000000001,56.78594999999999
2017-07-05 04:00:00,209.16666666666666,7.242600000000002,66.54243333333334,67.12863333333333,65.38643333333331,56.4927833333333
2017-07-05 05:00:00,207.58333333333334,7.187783333333333,66.44205000000001,66.02898333333333,65.35943333333331,56.641383333333344
2017-07-05 06:00:00,207.66666666666666,7.190666666666668,66.60178333333336,65.89773333333332,66.16423333333333,56.85368333333334
2017-07-05 07:00:00,209.16666666666666,7.2425916666666685,68.161,68.32926666666665,67.48993333333333,57.05943333333333
2017-07-05 08:00:00,210.91666666666666,7.303208333333333,68.59828333333334,69.71161666666669,67.80609999999999,57.56848333333334
2017-07-05 09:00:00,215.33333333333334,7.456125000000001,70.18848333333332,73.75156666666666,69.21378333333332,59.2445
2017-07-05 10:00:00,217.91666666666666,7.5455749999999995,71.47846666666668,75.55298333333334,70.36586666666668,60.73505000000001
2017-07-05 11:00:00,223.5,7.7389083333333355,73.37155000000003,79.30195000000002,72.15926666666665,63.12286666666668
2017-07-05 12:00:00,227.33333333333334,7.871641666666666,74.59811666666666,82.20579999999998,73.25311666666666,64.85456666666666
2017-07-05 13:00:00,229.58333333333334,7.949583333333333,75.89789999999999,83.51501666666665,74.39120000000001,65.50775
2017-07-05 14:00:00,230.58333333333334,7.984199999999999,76.58963333333337,84.12058333333336,75.01756666666667,65.82803333333335
2017-07-05 15:00:00,230.16666666666666,7.969758333333332,75.49813333333336,83.48005000000002,74.18248333333331,65.35190000000003
2017-07-05 16:00:00,230.91666666666666,7.995716666666666,75.23654999999998,83.06328333333332,74.08531666666667,65.5186
2017-07-05 17:00:00,231.66666666666666,8.021666666666667,74.61830000000003,83.51886666666668,73.48768333333334,65.66568333333333
2017-07-05 18:00:00,229.58333333333334,7.949583333333334,74.3956,82.49169999999998,73.29840000000003,65.08593333333333
2017-07-05 19:00:00,227.83333333333334,7.88895,73.93314999999998,81.20469999999997,72.82824999999998,64.33986666666667
2017-07-05 20:00:00,226.58333333333334,7.8456833333333345,73.4935666666667,80.10515000000001,72.44965,63.88186666666666
2017-07-05 21:00:00,225.08333333333334,7.793708333333332,73.24346666666666,78.83723333333337,72.23046666666667,63.41988333333333
2017-07-05 22:00:00,221.25,7.6609833333333315,72.39953333333334,75.92821666666666,71.51038333333331,63.27468333333333
2017-07-05 23:00:00,220.83333333333334,7.646541666666665,72.26206666666667,75.55153333333335,71.38633333333334,63.103749999999984
2017-07-06 00:00:00,220.33333333333334,7.629233333333333,72.35931666666666,74.74360000000001,71.49936666666665,63.03821666666668
2017-07-06 01:00:00,219.33333333333334,7.594641666666667,72.41678333333334,74.31976666666661,71.5633,63.10453333333334
2017-07-06 02:00:00,218.25,7.557125,72.2815666666667,73.69490000000003,71.49108333333334,63.047099999999986
2017-07-06 03:00:00,218.66666666666666,7.571566666666667,72.35190000000001,73.57124999999999,71.54580000000001,63.15969999999997
2017-07-06 04:00:00,217.5,7.53115,72.14226666666666,72.94786666666666,71.34536666666668,62.87723333333331
2017-07-06 05:00:00,216.66666666666666,7.502291666666667,71.42421666666664,72.46803333333334,70.66038333333333,62.45194999999999
2017-07-06 06:00:00,217.58333333333334,7.534033333333333,70.93951666666668,73.24199999999999,70.23293333333332,62.76303333333335
